"date","country","capital_city","GDP_2019","population_2019","population_density_2019","GINI_2019","child_mortality_2019","median_age_2018","life_exp_diff","confirmed_inf","recovered","deaths"
2021-05-23,Brazil,Brasília,2364445788869.69,211049519,24.69165417846801,53.4,13.9,33.2,18.384,16083258,14132443,449068
2021-05-23,India,New Delhi,2940826169011.38,1366417756,415.67034825020085,,34.3,28.7,24.107,26752447,23728011,303720
2021-05-23,Mexico,Ciudad de M,1309881765941.94,127575529,65.14935341162628,,14.2,29.3,15.457,2396604,1914101,221647
2021-05-23,United Kingdom,London,2913556871434.81,66836327,275.1598476739399,,4.3,40.6,9.679999999999993,4462538,0,127721
2021-05-23,Italy,Roma,2152283490598.57,59729081,198.2273792297787,,3.1,46.5,12.517999999999986,4192183,3785866,125225
2021-05-23,France,Paris,2974818953250.52,67248926,121.93821577515865,,4.5,41.7,11.09299999999999,5863138,324444,107390
2021-05-23,Germany,Berlin,3948227895585.61,83092962,232.73905249536443,,3.8,47.8,10.406000000000006,3657662,3410040,87429
2021-05-23,Colombia,Santaf,394839606764.337,50339443,44.1995119912478,51.3,13.8,31.2,16.747000000000007,3232456,3026277,84724
2021-05-23,Spain,Madrid,1573546474089.29,47133521,93.15072372685734,,3.1,43.9,12.26700000000001,3636453,150376,79620
2021-05-23,Iran,Tehran,491059888626.26,82913893,50.30587582173226,,13.9,31.7,28.067000000000007,2832518,2333789,78597
2021-05-23,Argentina,Buenos Aires,437813398163.194,44938712,16.162678751258813,42.9,9.3,32.4,10.549999999999997,3539484,3106949,74063
2021-05-23,Poland,Warszawa,660941995821.311,37965475,117.4492652745553,,4.4,41.9,8.652999999999992,2865622,2624724,72928
2021-05-23,Peru,Lima,210978801416.507,32510462,25.295718385080797,41.5,13.2,29.1,24.92,1925289,1869538,68053
2021-05-23,South Africa,Pretoria,430166850678.94,58558267,47.957815365136355,,34.5,28.0,12.364999999999995,1635465,1539395,55802
2021-05-23,Ukraine,Kyiv,135521189665.04,44386203,73.52360940864668,26.6,8.4,41.2,1.1380000000000052,2239897,2003916,51353
2021-05-23,Indonesia,Jakarta,1204457195676.25,270625567,142.0928131246492,38.2,23.9,31.1,21.139000000000003,1775220,1633045,49328
2021-05-23,Turkey,Ankara,1261946143648.6,83429607,107.67680930286585,41.9,10.0,32.2,27.497,5186487,5024313,46268
2021-05-23,Romania,Bucuresti,234000727422.063,19371648,81.25998045228218,,7.0,42.5,7.707999999999998,1075543,1032888,29941
2021-05-23,Hungary,Budapest,171775075702.853,9771141.0,105.03215091905837,,3.7,43.6,6.7379999999999995,802088,668820,29519
