Date;Mìsto;Rychlost vetru;Prumerna denní teplota;Prumerne srazky;Pracovni den nebo vikend;Rocni obdobi
01.01.2020;Amsterdam;17 km/h;2,75;0;1;3
02.01.2020;Amsterdam;32 km/h;2;0;1;3
03.01.2020;Amsterdam;38 km/h;7;1,325;1;3
04.01.2020;Amsterdam;34 km/h;6,75;0,025;0;3
05.01.2020;Amsterdam;21 km/h;6,875;0,0375;0;3
06.01.2020;Amsterdam;25 km/h;5,875;0;1;3
07.01.2020;Amsterdam;36 km/h;6,625;0,0875;1;3
08.01.2020;Amsterdam;7 km/h;9,875;0,225;1;3
09.01.2020;Amsterdam;9 km/h;11;0,65;1;3
10.01.2020;Amsterdam;33 km/h;8;0,75;1;3
11.01.2020;Amsterdam;40 km/h;4,75;0;0;3
12.01.2020;Amsterdam;48 km/h;7,25;0,05;0;3
13.01.2020;Amsterdam;46 km/h;5,75;0,1125;1;3
14.01.2020;Amsterdam;62 km/h;8,625;1,3125;1;3
15.01.2020;Amsterdam;59 km/h;9,75;1,2625;1;3
16.01.2020;Amsterdam;40 km/h;6,625;0;1;3
17.01.2020;Amsterdam;35 km/h;8;0,3;1;3
18.01.2020;Amsterdam;42 km/h;5,875;0,475;0;3
19.01.2020;Amsterdam;25 km/h;5,375;0,1625;0;3
20.01.2020;Amsterdam;9 km/h;4,875;0;1;3
21.01.2020;Amsterdam;18 km/h;4,5;0;1;3
22.01.2020;Amsterdam;9 km/h;5,875;0,025;1;3
23.01.2020;Amsterdam;8 km/h;6,75;0;1;3
24.01.2020;Amsterdam;9 km/h;3,25;0;1;3
25.01.2020;Amsterdam;9 km/h;3,5;0;0;3
26.01.2020;Amsterdam;29 km/h;3,875;0;0;3
27.01.2020;Amsterdam;37 km/h;7,75;0,825;1;3
28.01.2020;Amsterdam;44 km/h;5,125;1,975;1;3
29.01.2020;Amsterdam;35 km/h;5;0,2875;1;3
30.01.2020;Amsterdam;44 km/h;6,25;0,0875;1;3
31.01.2020;Amsterdam;46 km/h;8,75;0,025;1;3
01.02.2020;Amsterdam;46 km/h;10,125;0,175;0;3
02.02.2020;Amsterdam;45 km/h;8,5;0,725;0;3
03.02.2020;Amsterdam;43 km/h;8,75;0,3125;1;3
04.02.2020;Amsterdam;37 km/h;5,75;0,525;1;3
05.02.2020;Amsterdam;9 km/h;5,75;0;1;3
06.02.2020;Amsterdam;9 km/h;6,375;0;1;3
07.02.2020;Amsterdam;6 km/h;4,75;0;1;3
08.02.2020;Amsterdam;27 km/h;6,5;0,575;0;3
09.02.2020;Amsterdam;80 km/h;8,25;1,2;0;3
10.02.2020;Amsterdam;61 km/h;7,375;1,85;1;3
11.02.2020;Amsterdam;58 km/h;5,25;0,35;1;3
12.02.2020;Amsterdam;50 km/h;5;0,3625;1;3
13.02.2020;Amsterdam;41 km/h;5,5;1,8125;1;3
14.02.2020;Amsterdam;27 km/h;6,5;0,25;1;3
15.02.2020;Amsterdam;59 km/h;8,375;0;0;3
16.02.2020;Amsterdam;71 km/h;12;2,575;0;3
17.02.2020;Amsterdam;49 km/h;7,5;1,275;1;3
18.02.2020;Amsterdam;41 km/h;7,25;0,3;1;3
19.02.2020;Amsterdam;40 km/h;6;0,4375;1;3
20.02.2020;Amsterdam;49 km/h;7,625;0,7625;1;3
21.02.2020;Amsterdam;45 km/h;6,375;0,3625;1;3
22.02.2020;Amsterdam;62 km/h;9,375;0,075;0;3
23.02.2020;Amsterdam;69 km/h;8,875;2,4625;0;3
24.02.2020;Amsterdam;57 km/h;5,5;2,125;1;3
25.02.2020;Amsterdam;48 km/h;6,25;0,2125;1;3
26.02.2020;Amsterdam;37 km/h;4,75;1,275;1;3
27.02.2020;Amsterdam;8 km/h;2,875;0,875;1;3
28.02.2020;Amsterdam;43 km/h;3,75;0,3625;1;3
29.02.2020;Amsterdam;45 km/h;7,75;0,7125;0;3
01.03.2020;Amsterdam;47 km/h;6,625;0,3;0;3
02.03.2020;Amsterdam;24 km/h;5,5;0,8625;1;3
03.03.2020;Amsterdam;22 km/h;5,5;0,1875;1;3
04.03.2020;Amsterdam;6 km/h;6,125;0,125;1;3
05.03.2020;Amsterdam;31 km/h;5,75;0,25;1;3
06.03.2020;Amsterdam;32 km/h;6,125;1,0875;1;3
07.03.2020;Amsterdam;28 km/h;6,5;0;0;3
08.03.2020;Amsterdam;41 km/h;8,375;0,0625;0;3
09.03.2020;Amsterdam;30 km/h;7;0,0625;1;3
10.03.2020;Amsterdam;54 km/h;9;1,1625;1;3
11.03.2020;Amsterdam;51 km/h;10;0,25;1;3
12.03.2020;Amsterdam;56 km/h;8,25;0,525;1;3
13.03.2020;Amsterdam;48 km/h;7;0,4875;1;3
14.03.2020;Amsterdam;30 km/h;6,5;0,0375;0;3
15.03.2020;Amsterdam;33 km/h;8,75;0;0;3
16.03.2020;Amsterdam;9 km/h;9,25;0;1;3
17.03.2020;Amsterdam;26 km/h;8,625;0;1;3
18.03.2020;Amsterdam;33 km/h;9,875;0;1;3
19.03.2020;Amsterdam;23 km/h;8,5;0;1;3
20.03.2020;Amsterdam;30 km/h;7,125;0,0125;1;3
21.03.2020;Amsterdam;35 km/h;5,125;0;0;0
22.03.2020;Amsterdam;35 km/h;4,25;0;0;0
23.03.2020;Amsterdam;33 km/h;4,625;0;1;0
24.03.2020;Amsterdam;27 km/h;5,125;0;1;0
25.03.2020;Amsterdam;25 km/h;6,25;0;1;0
26.03.2020;Amsterdam;26 km/h;5,875;0;1;0
27.03.2020;Amsterdam;33 km/h;7,625;0;1;0
28.03.2020;Amsterdam;32 km/h;7,5;0,0125;0;0
29.03.2020;Amsterdam;43 km/h;4,375;0,0875;0;0
30.03.2020;Amsterdam;9 km/h;4,875;0,225;1;0
31.03.2020;Amsterdam;21 km/h;5,125;0;1;0
01.04.2020;Amsterdam;9 km/h;5,25;0,0375;1;0
02.04.2020;Amsterdam;27 km/h;7,25;0,075;1;0
03.04.2020;Amsterdam;9 km/h;7,25;0,175;1;0
04.04.2020;Amsterdam;20 km/h;8,375;0;0;0
05.04.2020;Amsterdam;27 km/h;11,875;0;0;0
06.04.2020;Amsterdam;27 km/h;14,125;0,0125;1;0
07.04.2020;Amsterdam;6 km/h;14,5;0;1;0
08.04.2020;Amsterdam;5 km/h;16,625;0;1;0
09.04.2020;Amsterdam;19 km/h;14,375;0;1;0
10.04.2020;Amsterdam;17 km/h;11,375;0;1;0
11.04.2020;Amsterdam;6 km/h;13,875;0;0;0
12.04.2020;Amsterdam;6 km/h;15,875;0;0;0
13.04.2020;Amsterdam;35 km/h;7,75;0,075;1;0
14.04.2020;Amsterdam;9 km/h;7;0;1;0
15.04.2020;Amsterdam;9 km/h;10,625;0;1;0
16.04.2020;Amsterdam;24 km/h;13;0;1;0
17.04.2020;Amsterdam;27 km/h;10,5;0;1;0
18.04.2020;Amsterdam;8 km/h;10,25;0,425;0;0
19.04.2020;Amsterdam;35 km/h;11,25;0;0;0
20.04.2020;Amsterdam;41 km/h;11,125;0;1;0
21.04.2020;Amsterdam;41 km/h;12,5;0;1;0
22.04.2020;Amsterdam;36 km/h;13,875;0;1;0
23.04.2020;Amsterdam;7 km/h;16,25;0;1;0
24.04.2020;Amsterdam;19 km/h;12,75;0;1;0
25.04.2020;Amsterdam;9 km/h;10,375;0;0;0
26.04.2020;Amsterdam;9 km/h;11,75;0;0;0
27.04.2020;Amsterdam;9 km/h;12,75;0;1;0
28.04.2020;Amsterdam;26 km/h;7,5;0,8375;1;0
29.04.2020;Amsterdam;24 km/h;10,875;0,3;1;0
30.04.2020;Amsterdam;33 km/h;11;0,425;1;0
01.05.2020;Amsterdam;35 km/h;10,375;1,35;1;0
02.05.2020;Amsterdam;25 km/h;11;0,5375;0;0
03.05.2020;Amsterdam;8 km/h;11,875;0,35;0;0
04.05.2020;Amsterdam;24 km/h;11;0,075;1;0
